date,mean_score,median_score,std_dev,count
2022-07-25,1.95,2.0,1.99,20
2022-07-26,2.46,2.0,1.98,13
2022-07-27,2.82,2.5,1.84,22
2022-07-28,2.43,2.0,1.89,30
2022-07-29,3.33,3.0,1.27,33
2022-07-30,3.76,4.0,1.59,25
2022-07-31,2.41,1.5,2.77,22
2022-08-01,3.4,3.0,2.7,20
2022-08-02,3.56,4.0,2.04,27
2022-08-03,2.16,2.0,2.15,25
2022-08-04,3.59,3.0,3.33,27
2022-08-05,5.14,5.0,2.91,29
2022-08-06,3.33,2.0,3.45,21
2022-08-07,4.13,4.0,2.49,31
2022-08-08,3.65,3.0,2.5,20
2022-08-09,3.0,3.0,1.52,26
2022-08-10,4.09,3.5,2.86,32
2022-08-11,2.34,2.0,2.73,29
2022-08-12,4.3,4.0,2.93,27
2022-08-13,3.96,4.0,3.09,27
2022-08-14,3.26,3.0,2.28,19
2022-08-15,2.92,3.0,2.21,36
2022-08-16,2.57,2.0,2.25,23
2022-08-17,3.51,3.0,2.75,35
2022-08-18,4.56,5.0,2.83,27
2022-08-19,4.07,4.0,2.38,30
2022-08-20,3.64,3.0,2.81,42
2022-08-21,3.47,3.0,2.51,34
2022-08-22,3.62,3.0,2.87,39
2022-08-23,3.7,4.0,2.14,33
2022-08-24,3.38,4.0,2.77,26
2022-08-25,3.37,4.0,2.4,27
2022-08-26,4.55,4.5,2.72,20
2022-08-27,4.64,4.0,2.8,36
2022-08-28,4.37,4.0,1.77,30
2022-08-29,2.87,3.0,2.22,23
2022-08-30,3.5,4.0,1.41,24
2022-08-31,3.04,2.0,2.65,23
2022-09-01,3.2,2.0,2.43,30
2022-09-02,3.07,3.0,2.71,29
2022-09-03,2.53,2.0,1.96,34
2022-09-04,3.84,3.0,2.75,25
2022-09-05,3.18,2.0,2.5,38
2022-09-06,3.21,3.0,2.16,29
2022-09-07,3.67,4.0,2.04,24
2022-09-08,4.44,4.0,2.05,34
2022-09-09,3.62,3.0,2.03,39
2022-09-10,4.14,5.0,2.15,36
2022-09-11,4.18,4.0,2.15,38
2022-09-12,3.71,4.0,2.16,35
2022-09-13,2.71,2.0,1.49,24
2022-09-14,2.93,3.0,2.0,41
2022-09-15,3.41,4.0,1.9,41
2022-09-16,3.91,3.5,2.07,34
2022-09-17,3.59,4.0,1.76,29
2022-09-18,4.18,4.0,2.67,22
2022-09-19,3.69,3.0,2.75,26
2022-09-20,3.07,2.0,2.74,41
2022-09-21,3.93,3.0,2.81,29
2022-09-22,2.93,3.0,2.24,30
2022-09-23,3.71,3.0,2.52,38
2022-09-24,3.76,3.0,2.83,37
2022-09-25,4.19,4.0,2.51,27
2022-09-26,4.4,4.0,2.31,30
2022-09-27,4.11,4.0,2.41,37
2022-09-28,4.33,4.0,2.52,43
2022-09-29,3.85,4.0,2.89,41
2022-09-30,3.86,4.0,2.47,42
2022-10-01,5.22,6.0,2.63,41
2022-10-02,3.36,3.0,2.2,42
2022-10-03,3.65,3.0,2.51,34
2022-10-04,2.94,3.0,1.82,34
2022-10-05,3.74,3.0,2.34,23
2022-10-06,4.24,4.0,2.69,29
2022-10-07,5.69,7.0,2.79,36
2022-10-08,5.71,8.0,2.64,38
2022-10-09,4.47,4.0,1.88,43
2022-10-10,3.76,3.0,2.35,33
2022-10-11,4.17,3.0,2.2,24
2022-10-12,2.89,3.0,1.97,28
